"Section","key","English (reference — do not edit)","Khmer (edit here)","Chinese (edit here)","Notes for Claude"
"404 page","notFound.body","Sorry, we couldn't find the page you were looking for. It may have moved, or the link might be incorrect.","សូមអភ័យទោស យើងរកមិនឃើញទំព័រដែលអ្នកកំពុងស្វែងរកនោះទេ។ វាអាចត្រូវបានផ្លាស់ទី ឬតំណភ្ជាប់អាចមិនត្រឹមត្រូវ។","抱歉，我们找不到您要访问的页面。它可能已被移动，或链接有误。",""
"404 page","notFound.contact","Contact Us","ទំនាក់ទំនងយើងខ្ញុំ","联系我们",""
"404 page","notFound.home","Back to Home","ត្រឡប់ទៅទំព័រដើម","返回首页",""
"404 page","notFound.title","Page not found","រកមិនឃើញទំព័រ","页面未找到",""
"About — branch detail","branchDetail.backLink","Our Branches","សាខារបស់យើង","我们的分院",""
"About — branch detail","branchDetail.bookAppointment","Book an Appointment","ធ្វើការណាត់ជួប","预约就诊",""
"About — branch detail","branchDetail.labels.address","Address","អាសយដ្ឋាន","地址",""
"About — branch detail","branchDetail.labels.openingHours","Opening Hours","ម៉ោងបើកធ្វើការ","营业时间",""
"About — branch detail","branchDetail.labels.phone","Phone","ទូរស័ព្ទ","电话",""
"About — branch detail","branchDetail.map.title","Map — {name}","ផែនទី — {name}","地图 — {name}",""
"About — branch detail","branchDetail.otherBranches","Other Branches","សាខាផ្សេងទៀត","其他分院",""
"About — branch detail","branchDetail.viewOnGoogleMaps","View on Google Maps","មើលលើ Google Maps","在 Google 地图上查看",""
"About — branch detail","branchDetail.visitUs","Visit Us","មកទស្សនាយើង","到访我们",""
"About — career detail","careersDetail.backLink","All Positions","មុខតំណែងទាំងអស់","所有职位",""
"About — career detail","careersDetail.benefitsHeading","Benefits","អត្ថប្រយោជន៍","福利待遇",""
"About — career detail","careersDetail.contactCta","Contact Us","ទាក់ទងមកយើង","联系我们",""
"About — career detail","careersDetail.emailLabel","Email","អ៊ីមែល","电子邮箱",""
"About — career detail","careersDetail.howToApplyDescription","Send your resume with related references and a cover letter to our HR team.","សូមផ្ញើប្រវត្តិរូបសង្ខេបរបស់អ្នក ភ្ជាប់ជាមួយឯកសារយោងពាក់ព័ន្ធ និងលិខិតបង្ហាញពីការចាប់អារម្មណ៍ មកកាន់ក្រុមធនធានមនុស្សរបស់យើង។","请将您的简历、相关推荐材料及求职信发送至我们的人力资源团队。",""
"About — career detail","careersDetail.howToApplyHeading","How to Apply","របៀបដាក់ពាក្យ","申请方式",""
"About — career detail","careersDetail.otherPositionsHeading","Other Positions","មុខតំណែងផ្សេងទៀត","其他职位",""
"About — career detail","careersDetail.phoneLabel","Phone","ទូរស័ព្ទ","电话",""
"About — career detail","careersDetail.requirementsHeading","Requirements","តម្រូវការ","任职要求",""
"About — careers","careers.applyInstructions.after",".","។","。",""
"About — careers","careers.applyInstructions.before","Interested applicants should send their resume with related references and a cover letter to","បេក្ខជនដែលមានចំណាប់អារម្មណ៍ គួរផ្ញើប្រវត្តិរូបសង្ខេបរបស់ខ្លួន ជាមួយឯកសារយោងពាក់ព័ន្ធ និងលិខិតណែនាំខ្លួនទៅកាន់","有意应聘者请将个人简历连同相关推荐资料及求职信发送至",""
"About — careers","careers.applyInstructions.middle",". For further information please contact:","។ សម្រាប់ព័ត៌មានបន្ថែម សូមទាក់ទង៖","。如需了解更多信息，请联系：",""
"About — careers","careers.backLink","About","អំពីយើង","关于我们",""
"About — careers","careers.cta.button","Contact Us","ទាក់ទងមកយើង","联系我们",""
